Refseq	Symbol	Chr	Start	End	Strand	txLength	countLength	basal1	basal2	treat1	treat2
CALHM2	CALHM2	chrx	1	1	.	3620	3620	5072	5121	4043	5243
NEURL	NEURL	chrx	1	1	.	4961	4961	11	25	0	0
SH3PXD2A	SH3PXD2A	chrx	1	1	.	12436	12436	3064	3628	2571	3864
RN7SL524P	RN7SL524P	chrx	1	1	.	296	296	0	0	0	0
MIR936	MIR936	chrx	1	1	.	98	98	0	0	0	0
SFR1	SFR1	chrx	1	1	.	2530	2530	242	306	153	399
WDR96	WDR96	chrx	1	1	.	7184	7184	0	0	13	0
MIR609	MIR609	chrx	1	1	.	95	95	0	0	0	0
GSTO1	GSTO1	chrx	1	1	.	1691	1691	1014	1623	1003	1897
MIR4482-1	MIR4482-1	chrx	1	1	.	98	98	0	0	0	0
GSTO2	GSTO2	chrx	1	1	.	10344	10344	15	34	35	148
ITPRIP	ITPRIP	chrx	1	1	.	4588	4588	6744	7048	9132	13468
CCDC147	CCDC147	chrx	1	1	.	3548	3548	1	0	0	23
SORCS3	SORCS3	chrx	1	1	.	6182	6182	0	0	0	0
RNU6-463P	RNU6-463P	chrx	1	1	.	107	107	0	0	0	0
SORCS1	SORCS1	chrx	1	1	.	9961	9961	0	0	0	0
RNA5SP325	RNA5SP325	chrx	1	1	.	130	130	0	0	0	0
RNU7-163P	RNU7-163P	chrx	1	1	.	63	63	0	0	0	0
RNA5SP326	RNA5SP326	chrx	1	1	.	110	110	0	0	0	0
CELF2	CELF2	chrx	1	1	.	9873	9873	2666	3669	2666	3509
RN7SKP278	RN7SKP278	chrx	1	1	.	342	342	0	0	0	0
RNU5B-6P	RNU5B-6P	chrx	1	1	.	115	115	0	0	0	0
RNU6-839P	RNU6-839P	chrx	1	1	.	108	108	0	0	0	0
XPNPEP1	XPNPEP1	chrx	1	1	.	6691	6691	1695	2317	1530	2523
U4	U4	chrx	1	1	.	268	268	0	0	0	0
RP11-451M19.3	RP11-451M19.3	chrx	1	1	.	1663	1663	0	0	0	0
RN7SL450P	RN7SL450P	chrx	1	1	.	304	304	0	0	0	0
AL355512.1	AL355512.1	chrx	1	1	.	145	145	0	0	0	0
AL355512.2	AL355512.2	chrx	1	1	.	98	98	0	0	0	0
RN7SL686P	RN7SL686P	chrx	1	1	.	295	295	0	0	0	0
RN7SKP288	RN7SKP288	chrx	1	1	.	268	268	0	0	0	0
RNA5SP327	RNA5SP327	chrx	1	1	.	101	101	0	0	0	0
PDCD4	PDCD4	chrx	1	1	.	4535	4535	90	50	44	77
MIR4680	MIR4680	chrx	1	1	.	66	66	0	0	0	0
SHOC2	SHOC2	chrx	1	1	.	4433	4433	507	669	643	908
MIR548E	MIR548E	chrx	1	1	.	88	88	0	0	0	0
ACSL5	ACSL5	chrx	1	1	.	4318	4318	101	105	60	220
MIR4295	MIR4295	chrx	1	1	.	85	85	0	0	0	0
TCF7L2	TCF7L2	chrx	1	1	.	5049	5049	2694	3321	3785	3738
USP6NL	USP6NL	chrx	1	1	.	14202	14202	2018	2924	2283	3050
RNU7-165P	RNU7-165P	chrx	1	1	.	60	60	0	0	0	0
HABP2	HABP2	chrx	1	1	.	3740	3740	0	0	0	0
NRAP	NRAP	chrx	1	1	.	5721	5721	0	0	0	0
CASP7	CASP7	chrx	1	1	.	3466	3466	317	461	244	765
PLEKHS1	PLEKHS1	chrx	1	1	.	5402	5402	0	0	0	0
SNORA17	SNORA17	chrx	1	1	.	261	261	0	0	0	0
AL162407.1	AL162407.1	chrx	1	1	.	2420	2420	0	0	0	0
RNU6-709P	RNU6-709P	chrx	1	1	.	104	104	0	0	0	0
C10orf118	C10orf118	chrx	1	1	.	8991	8991	201	410	228	519
MIR2110	MIR2110	chrx	1	1	.	75	75	0	0	0	0
TDRD1	TDRD1	chrx	1	1	.	5256	5256	0	0	0	0
VWA2	VWA2	chrx	1	1	.	3368	3368	0	0	0	0
AFAP1L2	AFAP1L2	chrx	1	1	.	5948	5948	167	39	153	14
RN7SL384P	RN7SL384P	chrx	1	1	.	296	296	0	0	0	0
ABLIM1	ABLIM1	chrx	1	1	.	9871	9871	16528	10538	17535	12890
RNU6-1121P	RNU6-1121P	chrx	1	1	.	109	109	0	0	0	0
ATRNL1	ATRNL1	chrx	1	1	.	9822	9822	0	0	0	0
GFRA1	GFRA1	chrx	1	1	.	9832	9832	0	0	0	0
RNU6-1090P	RNU6-1090P	chrx	1	1	.	94	94	0	0	0	0
PNLIPRP1	PNLIPRP1	chrx	1	1	.	4986	4986	0	0	0	0
PNLIPRP2	PNLIPRP2	chrx	1	1	.	1672	1672	0	0	0	0
ENO4	ENO4	chrx	1	1	.	3090	3090	0	0	3	2
KIAA1598	KIAA1598	chrx	1	1	.	5016	5016	851	1767	973	1336
MIR3663	MIR3663	chrx	1	1	.	97	97	0	0	0	0
AL359836.1	AL359836.1	chrx	1	1	.	101	101	0	0	0	0
RNU6-1095P	RNU6-1095P	chrx	1	1	.	108	108	0	0	0	0
RAB11FIP2	RAB11FIP2	chrx	1	1	.	6169	6169	244	599	325	752
AL356865.2	AL356865.2	chrx	1	1	.	71	71	0	0	0	0
PRLHR	PRLHR	chrx	1	1	.	1980	1980	0	0	0	0
AL356865.1	AL356865.1	chrx	1	1	.	120	120	0	0	0	0
TOMM22P5	TOMM22P5	chrx	1	1	.	439	439	0	0	0	0
CACUL1	CACUL1	chrx	1	1	.	7828	7828	1576	1945	1453	2483
U3	U3	chrx	1	1	.	17156	17156	1	0	4	9
RP11-215A21.2	RP11-215A21.2	chrx	1	1	.	554	554	19	5	5	2
AL157788.1	AL157788.1	chrx	1	1	.	110	110	0	0	0	0
EIF3A	EIF3A	chrx	1	1	.	6048	6048	4161	5243	4218	5444
SNORA19	SNORA19	chrx	1	1	.	501	501	0	0	0	0
FAM45A	FAM45A	chrx	1	1	.	6161	6161	275	481	354	493
SFXN4	SFXN4	chrx	1	1	.	1868	1868	148	153	82	196
PRDX3	PRDX3	chrx	1	1	.	3417	3417	759	1042	684	1083
RN7SL749P	RN7SL749P	chrx	1	1	.	288	288	0	0	0	0
MIR4681	MIR4681	chrx	1	1	.	72	72	0	0	0	0
GRK5	GRK5	chrx	1	1	.	2949	2949	1026	992	1010	1169
RGS10	RGS10	chrx	1	1	.	1252	1252	333	744	371	668
TIAL1	TIAL1	chrx	1	1	.	4470	4470	2225	3224	2084	3529
INPP5F	INPP5F	chrx	1	1	.	6184	6184	435	811	559	574
RN7SL846P	RN7SL846P	chrx	1	1	.	294	294	0	0	0	0
U6	U6	chrx	1	1	.	1481	1481	0	1	0	2
SEC23IP	SEC23IP	chrx	1	1	.	5684	5684	8525	9526	6849	10172
SEC61A2	SEC61A2	chrx	1	1	.	3916	3916	295	519	129	598
MIR4682	MIR4682	chrx	1	1	.	80	80	0	0	0	0
MIR548AK	MIR548AK	chrx	1	1	.	57	57	0	0	0	0
AL353664.1	AL353664.1	chrx	1	1	.	95	95	0	0	0	0
NUDT5	NUDT5	chrx	1	1	.	4969	4969	754	1311	699	1145
RP11-572P18.1	RP11-572P18.1	chrx	1	1	.	542	542	1	2	0	2
PPAPDC1A	PPAPDC1A	chrx	1	1	.	2534	2534	338	553	195	916
AC073587.1	AC073587.1	chrx	1	1	.	98	98	0	0	0	0
RN7SL232P	RN7SL232P	chrx	1	1	.	257	257	0	0	0	0
RN7SKP167	RN7SKP167	chrx	1	1	.	285	285	0	0	0	0
FGFR2	FGFR2	chrx	1	1	.	7543	7543	24	0	0	0
ATE1	ATE1	chrx	1	1	.	5690	5690	564	1351	771	1189
RN7SL198P	RN7SL198P	chrx	1	1	.	254	254	0	0	0	0
NSMCE4A	NSMCE4A	chrx	1	1	.	3546	3546	824	889	613	924
TACC2	TACC2	chrx	1	1	.	18835	18835	2671	4013	3061	4044
BTBD16	BTBD16	chrx	1	1	.	2409	2409	11	23	0	0
RNU6-728P	RNU6-728P	chrx	1	1	.	104	104	0	0	0	0
PLEKHA1	PLEKHA1	chrx	1	1	.	13780	13780	754	785	801	1058
MIR3941	MIR3941	chrx	1	1	.	103	103	0	0	0	0
DMBT1	DMBT1	chrx	1	1	.	8073	8073	0	0	0	11
SNORD45	SNORD45	chrx	1	1	.	1329	1329	0	0	0	0
RP11-107C16.2	RP11-107C16.2	chrx	1	1	.	1148	1148	0	0	0	0
CUZD1	CUZD1	chrx	1	1	.	3752	3752	28	30	2	0
RP11-564D11.3	RP11-564D11.3	chrx	1	1	.	2343	2343	11	44	0	31
PSTK	PSTK	chrx	1	1	.	6982	6982	25	49	22	31
BUB3	BUB3	chrx	1	1	.	3203	3203	3109	4307	3489	4260
RP11-162A23.5	RP11-162A23.5	chrx	1	1	.	348	348	2	1	1	0
AC012391.1	AC012391.1	chrx	1	1	.	87	87	0	0	0	0
RNU6ATAC39P	RNU6ATAC39P	chrx	1	1	.	149	149	0	0	0	0
AC009987.1	AC009987.1	chrx	1	1	.	72	72	0	0	0	0
AC068058.1	AC068058.1	chrx	1	1	.	83	83	0	0	0	0
CHST15	CHST15	chrx	1	1	.	5207	5207	2086	788	1908	1209
OAT	OAT	chrx	1	1	.	3388	3388	757	1490	706	1119
NKX1-2	NKX1-2	chrx	1	1	.	1646	1646	0	0	0	0
MIR4480	MIR4480	chrx	1	1	.	71	71	0	0	0	0
AC068896.1	AC068896.1	chrx	1	1	.	219	219	0	0	0	0
MIR4296	MIR4296	chrx	1	1	.	88	88	0	0	0	0
RP11-383C5.4	RP11-383C5.4	chrx	1	1	.	3432	3432	52	0	0	11
MIR4484	MIR4484	chrx	1	1	.	83	83	0	0	0	0
BCCIP	BCCIP	chrx	1	1	.	4499	4499	202	238	227	359
DHX32	DHX32	chrx	1	1	.	3948	3948	211	439	370	510
AL360176.1	AL360176.1	chrx	1	1	.	86	86	0	0	0	0
RNU2-42P	RNU2-42P	chrx	1	1	.	113	113	0	0	0	0
FANK1	FANK1	chrx	1	1	.	4178	4178	15	38	6	41
MIR548Q	MIR548Q	chrx	1	1	.	100	100	0	0	0	0
RNA5SP328	RNA5SP328	chrx	1	1	.	109	109	0	0	0	0
C10orf90	C10orf90	chrx	1	1	.	5319	5319	0	0	0	0
AL583860.1	AL583860.1	chrx	1	1	.	102	102	0	0	0	0
SNORD60	SNORD60	chrx	1	1	.	242	242	14	0	0	0
NPS	NPS	chrx	1	1	.	322	322	0	0	0	0
AL391005.1	AL391005.1	chrx	1	1	.	645	645	0	0	0	0
RNA5SP300	RNA5SP300	chrx	1	1	.	107	107	0	0	0	0
PTPRE	PTPRE	chrx	1	1	.	11299	11299	2556	2493	3717	3045
AL355531.1	AL355531.1	chrx	1	1	.	114	114	0	0	0	0
AL355531.2	AL355531.2	chrx	1	1	.	642	642	0	0	0	0
MIR4297	MIR4297	chrx	1	1	.	76	76	0	0	0	0
CTAGE7P	CTAGE7P	chrx	1	1	.	2823	2823	0	0	0	2
RNU6-6P	RNU6-6P	chrx	1	1	.	107	107	0	0	0	0
MIR378C	MIR378C	chrx	1	1	.	81	81	0	0	0	0
AL607076.1	AL607076.1	chrx	1	1	.	82	82	0	0	0	0
AL450307.2	AL450307.2	chrx	1	1	.	70	70	0	0	0	0
AL138764.1	AL138764.1	chrx	1	1	.	303	303	0	1	0	0
SEPHS1	SEPHS1	chrx	1	1	.	3979	3979	1273	1466	1125	1473
AL450307.1	AL450307.1	chrx	1	1	.	3384	3384	0	0	0	0
PPP2R2D	PPP2R2D	chrx	1	1	.	6114	6114	385	472	451	552
BNIP3	BNIP3	chrx	1	1	.	2111	2111	1245	1365	1092	1376
DPYSL4	DPYSL4	chrx	1	1	.	3176	3176	137	631	145	477
STK32C	STK32C	chrx	1	1	.	3543	3543	26	73	24	73
LRRC27	LRRC27	chrx	1	1	.	11541	11541	109	92	30	110
PWWP2B	PWWP2B	chrx	1	1	.	2651	2651	141	301	177	214
C10orf91	C10orf91	chrx	1	1	.	2040	2040	0	0	0	0
TTC40	TTC40	chrx	1	1	.	10561	10561	0	53	45	69
BEND7	BEND7	chrx	1	1	.	9815	9815	854	760	838	952
AL445199.1	AL445199.1	chrx	1	1	.	663	663	0	0	0	0
KNDC1	KNDC1	chrx	1	1	.	7991	7991	0	0	0	0
MIR202	MIR202	chrx	1	1	.	865	865	0	0	0	0
TUBGCP2	TUBGCP2	chrx	1	1	.	6680	6680	2148	2439	1848	2607
ZNF511	ZNF511	chrx	1	1	.	3265	3265	266	432	237	328
PRAP1	PRAP1	chrx	1	1	.	980	980	0	0	0	0
FUOM	FUOM	chrx	1	1	.	1274	1274	76	110	25	85
MIR3944	MIR3944	chrx	1	1	.	108	108	0	0	0	0
PAOX	PAOX	chrx	1	1	.	2320	2320	34	12	16	30
AL360181.1	AL360181.1	chrx	1	1	.	105	105	0	0	0	0
RP11-108K14.4	RP11-108K14.4	chrx	1	1	.	8017	8017	0	0	0	0
AL161645.1	AL161645.1	chrx	1	1	.	86	86	0	0	0	0
CYP2E1	CYP2E1	chrx	1	1	.	9621	9621	0	0	0	6
AL161645.2	AL161645.2	chrx	1	1	.	60	60	0	0	0	0
SYCE1	SYCE1	chrx	1	1	.	2934	2934	0	0	0	0
AL845259.1	AL845259.1	chrx	1	1	.	96	96	0	0	0	0
DUX4L11	DUX4L11	chrx	1	1	.	1864	1864	0	0	0	0
DUX4L13	DUX4L13	chrx	1	1	.	1862	1862	0	0	0	0
DUX4L15	DUX4L15	chrx	1	1	.	1605	1605	0	0	0	0
FRMD4A	FRMD4A	chrx	1	1	.	12499	12499	19520	22381	18829	23460
AL157392.1	AL157392.1	chrx	1	1	.	95	95	0	0	0	0
RNA5SP301	RNA5SP301	chrx	1	1	.	121	121	0	0	0	0
MIR4293	MIR4293	chrx	1	1	.	78	78	0	0	0	0
MIR1265	MIR1265	chrx	1	1	.	86	86	0	0	0	0
RNA5SP302	RNA5SP302	chrx	1	1	.	100	100	0	0	0	0
DCLRE1C	DCLRE1C	chrx	1	1	.	7307	7307	213	134	114	294
MEIG1	MEIG1	chrx	1	1	.	1407	1407	0	0	0	0
DCLRE1CP1	DCLRE1CP1	chrx	1	1	.	997	997	0	0	0	0
NMT2	NMT2	chrx	1	1	.	5058	5058	1210	1382	823	1808
SNORA31	SNORA31	chrx	1	1	.	3263	3263	9	26	0	0
RNU6-1075P	RNU6-1075P	chrx	1	1	.	107	107	0	0	0	0
PTER	PTER	chrx	1	1	.	3998	3998	31	14	1	43
RNU2-18P	RNU2-18P	chrx	1	1	.	162	162	0	0	0	0
RSU1	RSU1	chrx	1	1	.	4191	4191	5526	5426	5935	6191
TRDMT1	TRDMT1	chrx	1	1	.	10535	10535	314	245	255	306
VIM	VIM	chrx	1	1	.	4965	4965	809740	649895	761153	666644
STAM	STAM	chrx	1	1	.	3246	3246	1464	1296	1428	2305
snoR442	snoR442	chrx	1	1	.	288	288	0	0	0	0
TMEM236	TMEM236	chrx	1	1	.	10929	10929	6	0	0	33
MRC1L1	MRC1L1	chrx	1	1	.	5261	5261	19	0	0	0
MIR511-1	MIR511-1	chrx	1	1	.	87	87	0	0	0	0
ZMYND11	ZMYND11	chrx	1	1	.	5300	5300	996	1225	1289	1232
MIR511-2	MIR511-2	chrx	1	1	.	87	87	0	0	0	0
SLC39A12	SLC39A12	chrx	1	1	.	2808	2808	0	0	0	0
C10orf112	C10orf112	chrx	1	1	.	5540	5540	0	0	0	0
RNA5SP303	RNA5SP303	chrx	1	1	.	130	130	0	0	0	0
AL353147.1	AL353147.1	chrx	1	1	.	104	104	0	0	0	0
RNA5SP297	RNA5SP297	chrx	1	1	.	113	113	0	0	0	0
RNU6-1212P	RNU6-1212P	chrx	1	1	.	104	104	0	0	0	0
MIR4675	MIR4675	chrx	1	1	.	77	77	0	0	0	0
NEBL	NEBL	chrx	1	1	.	13718	13718	3	15	23	51
RNU6-889P	RNU6-889P	chrx	1	1	.	103	103	0	0	0	0
C10orf113	C10orf113	chrx	1	1	.	614	614	0	0	0	0
RNU6-15P	RNU6-15P	chrx	1	1	.	107	107	0	0	0	0
MIR1915	MIR1915	chrx	1	1	.	80	80	0	0	0	0
SKIDA1	SKIDA1	chrx	1	1	.	6622	6622	153	92	119	380
MLLT10	MLLT10	chrx	1	1	.	6844	6844	2001	2378	3317	2936
RNU6-306P	RNU6-306P	chrx	1	1	.	107	107	0	0	0	0
RNU6-1141P	RNU6-1141P	chrx	1	1	.	107	107	0	0	0	0
RN7SKP219	RN7SKP219	chrx	1	1	.	296	296	0	0	0	0
AL359697.1	AL359697.1	chrx	1	1	.	165	165	0	0	0	0
RN7SKP37	RN7SKP37	chrx	1	1	.	296	296	0	0	0	0
RNU6-576P	RNU6-576P	chrx	1	1	.	102	102	0	0	0	0
SPAG6	SPAG6	chrx	1	1	.	4006	4006	0	0	0	0
RNU6-413P	RNU6-413P	chrx	1	1	.	107	107	0	0	0	0
ARMC3	ARMC3	chrx	1	1	.	6065	6065	0	0	0	0
RNA5SP304	RNA5SP304	chrx	1	1	.	104	104	0	0	0	0
AL139815.1	AL139815.1	chrx	1	1	.	96	96	0	0	0	0
YWHAZP3	YWHAZP3	chrx	1	1	.	739	739	0	3	1	3
SNORA40	SNORA40	chrx	1	1	.	5434	5434	7	62	41	0
MIR1254-2	MIR1254-2	chrx	1	1	.	63	63	0	0	0	0
KIAA1217	KIAA1217	chrx	1	1	.	10656	10656	73	121	22	140
MIR603	MIR603	chrx	1	1	.	97	97	0	0	0	0
AL353583.1	AL353583.1	chrx	1	1	.	360	360	0	0	0	0
ARHGAP21	ARHGAP21	chrx	1	1	.	10739	10739	11068	9347	12589	11733
RNA5SP305	RNA5SP305	chrx	1	1	.	119	119	0	0	0	0
AC024908.1	AC024908.1	chrx	1	1	.	90	90	0	0	0	0
RN7SKP241	RN7SKP241	chrx	1	1	.	291	291	0	0	0	0
AL139821.1	AL139821.1	chrx	1	1	.	99	99	0	0	0	0
RN7SKP220	RN7SKP220	chrx	1	1	.	288	288	0	0	0	0
RNA5SP306	RNA5SP306	chrx	1	1	.	107	107	0	0	0	0
RNU6-632P	RNU6-632P	chrx	1	1	.	64	64	0	0	0	0
MYO3A	MYO3A	chrx	1	1	.	8188	8188	0	0	0	0
RNA5SP307	RNA5SP307	chrx	1	1	.	116	116	0	0	0	0
LINC00202-2	LINC00202-2	chrx	1	1	.	6104	6104	0	0	0	0
PDSS1	PDSS1	chrx	1	1	.	1959	1959	348	228	112	322
ABI1	ABI1	chrx	1	1	.	4236	4236	5776	6655	5994	6796
SNORA57	SNORA57	chrx	1	1	.	563	563	0	0	0	0
RNU6-946P	RNU6-946P	chrx	1	1	.	107	107	0	0	0	0
ANKRD26	ANKRD26	chrx	1	1	.	8241	8241	80	82	95	33
RNU6-490P	RNU6-490P	chrx	1	1	.	107	107	2	0	0	0
YME1L1	YME1L1	chrx	1	1	.	6993	6993	2078	3477	1895	4192
RNU2-24P	RNU2-24P	chrx	1	1	.	143	143	0	0	0	0
ACBD5	ACBD5	chrx	1	1	.	4339	4339	87	298	170	396
RNU7-12P	RNU7-12P	chrx	1	1	.	62	62	0	0	0	0
AL160291.1	AL160291.1	chrx	1	1	.	84	84	0	0	0	0
RNU6-666P	RNU6-666P	chrx	1	1	.	107	107	0	0	0	0
RNU6-452P	RNU6-452P	chrx	1	1	.	107	107	0	0	0	0
RAB18	RAB18	chrx	1	1	.	6106	6106	616	2189	984	1597
ARMC4	ARMC4	chrx	1	1	.	5697	5697	19	17	50	8
RN7SKP132	RN7SKP132	chrx	1	1	.	208	208	0	0	0	0
MPP7	MPP7	chrx	1	1	.	6577	6577	0	0	2	0
AC022021.1	AC022021.1	chrx	1	1	.	107	107	0	0	0	0
RN7SKP39	RN7SKP39	chrx	1	1	.	322	322	0	0	0	0
WAC	WAC	chrx	1	1	.	12188	12188	6163	7553	8050	7523
RNU4ATAC6P	RNU4ATAC6P	chrx	1	1	.	126	126	0	0	0	0
RNU6-1067P	RNU6-1067P	chrx	1	1	.	107	107	0	0	0	0
RNU6-270P	RNU6-270P	chrx	1	1	.	105	105	0	0	0	0
RNA5SP308	RNA5SP308	chrx	1	1	.	115	115	0	0	0	0
RP11-492M23.2	RP11-492M23.2	chrx	1	1	.	498	498	4	0	0	1
PTCHD3P1	PTCHD3P1	chrx	1	1	.	4995	4995	1362	1473	880	1845
SVIL	SVIL	chrx	1	1	.	10341	10341	6839	8703	6167	8949
MIR604	MIR604	chrx	1	1	.	94	94	0	0	0	0
SNORD115	SNORD115	chrx	1	1	.	135	135	0	0	0	0
MIR938	MIR938	chrx	1	1	.	83	83	0	0	0	0
RP11-192N10.2	RP11-192N10.2	chrx	1	1	.	326	326	0	11	0	1
RNU6-908P	RNU6-908P	chrx	1	1	.	94	94	0	0	0	0
RNU6-598P	RNU6-598P	chrx	1	1	.	105	105	0	0	0	0
MTPAP	MTPAP	chrx	1	1	.	8382	8382	496	560	437	643
AL161651.1	AL161651.1	chrx	1	1	.	82	82	0	0	0	0
RN7SL241P	RN7SL241P	chrx	1	1	.	286	286	0	0	0	0
MAP3K8	MAP3K8	chrx	1	1	.	3601	3601	757	678	1284	2039
RN7SL63P	RN7SL63P	chrx	1	1	.	302	302	0	0	0	0
SVILP1	SVILP1	chrx	1	1	.	2852	2852	86	76	104	118
ZNF438	ZNF438	chrx	1	1	.	4294	4294	1231	2646	977	2140
AL359546.1	AL359546.1	chrx	1	1	.	97	97	0	0	0	0
RNA5SP309	RNA5SP309	chrx	1	1	.	106	106	0	0	0	0
ZEB1	ZEB1	chrx	1	1	.	8561	8561	7207	7331	8124	9301
RP11-192P3.5	RP11-192P3.5	chrx	1	1	.	2753	2753	0	0	0	0
PITRM1	PITRM1	chrx	1	1	.	6949	6949	3553	3665	3253	4192
ARHGAP12	ARHGAP12	chrx	1	1	.	5843	5843	205	364	303	466
RN7SL825P	RN7SL825P	chrx	1	1	.	292	292	0	0	0	0
AL603831.1	AL603831.1	chrx	1	1	.	125	125	0	0	0	0
RNU7-22P	RNU7-22P	chrx	1	1	.	61	61	0	0	0	0
AL391839.1	AL391839.1	chrx	1	1	.	83	83	0	0	0	0
RNU6-1244P	RNU6-1244P	chrx	1	1	.	108	108	0	0	0	0
CCDC7	CCDC7	chrx	1	1	.	5690	5690	29	74	5	30
RNA5SP298	RNA5SP298	chrx	1	1	.	111	111	0	0	0	0
C10orf68	C10orf68	chrx	1	1	.	3490	3490	0	0	0	0
ITGB1	ITGB1	chrx	1	1	.	6127	6127	7490	9913	7669	11564
RN7SL847P	RN7SL847P	chrx	1	1	.	268	268	0	0	0	0
RP11-462L8.2	RP11-462L8.2	chrx	1	1	.	801	801	2	6	0	5
AL121748.1	AL121748.1	chrx	1	1	.	102	102	0	0	0	0
NRP1	NRP1	chrx	1	1	.	11517	11517	12847	17887	12078	20877
RN7SL398P	RN7SL398P	chrx	1	1	.	296	296	0	0	0	13
PARD3	PARD3	chrx	1	1	.	6513	6513	713	1274	1077	1788
RNU6-847P	RNU6-847P	chrx	1	1	.	108	108	0	0	0	0
RNU6-193P	RNU6-193P	chrx	1	1	.	107	107	0	0	0	0
CUL2	CUL2	chrx	1	1	.	4992	4992	841	1823	571	1528
MIR3611	MIR3611	chrx	1	1	.	83	83	0	0	0	0
CREM	CREM	chrx	1	1	.	5695	5695	48	143	148	146
RNU7-77P	RNU7-77P	chrx	1	1	.	60	60	0	0	0	0
RNU6-794P	RNU6-794P	chrx	1	1	.	64	64	0	0	0	0
RNU6-1167P	RNU6-1167P	chrx	1	1	.	94	94	0	0	0	0
CCNY	CCNY	chrx	1	1	.	4998	4998	6980	8606	7020	9042
MIR4683	MIR4683	chrx	1	1	.	81	81	0	0	0	0
NAMPTL	NAMPTL	chrx	1	1	.	2514	2514	2	3	2	19
ANKRD30A	ANKRD30A	chrx	1	1	.	4946	4946	0	0	0	0
RNU6-811P	RNU6-811P	chrx	1	1	.	107	107	0	0	0	0
