Refseq	Symbol	Chr	Start	End	Strand	txLength	countLength	basal1	basal2	treat1	treat2
RP3-395M20.8	RP3-395M20.8	chrx	1	1	.	961	961	0	2	13	0
TNFRSF14	TNFRSF14	chrx	1	1	.	3514	3514	61	69	111	103
RP3-395M20.7	RP3-395M20.7	chrx	1	1	.	2178	2178	21	0	0	4
RP3-395M20.9	RP3-395M20.9	chrx	1	1	.	2344	2344	0	0	0	0
FAM213B	FAM213B	chrx	1	1	.	1623	1623	0	0	0	3
MMEL1	MMEL1	chrx	1	1	.	38462	38462	30	22	0	3
RP13-436F16.1	RP13-436F16.1	chrx	1	1	.	3678	3678	0	0	0	0
TTC34	TTC34	chrx	1	1	.	144952	144952	84	89	18	62
RP11-740P5.2	RP11-740P5.2	chrx	1	1	.	234	234	0	0	0	0
RP11-740P5.3	RP11-740P5.3	chrx	1	1	.	136	136	0	0	0	0
LINC00982	LINC00982	chrx	1	1	.	3217	3217	0	0	0	0
PRDM16	PRDM16	chrx	1	1	.	359647	359647	0	0	33	23
RP1-163G9.2	RP1-163G9.2	chrx	1	1	.	312	312	0	0	0	0
ARHGEF16	ARHGEF16	chrx	1	1	.	21100	21100	0	0	0	0
MEGF6	MEGF6	chrx	1	1	.	114363	114363	754	1075	537	979
RP11-46F15.2	RP11-46F15.2	chrx	1	1	.	928	928	0	0	0	0
TPRG1L	TPRG1L	chrx	1	1	.	2704	2704	29	36	66	60
WRAP73	WRAP73	chrx	1	1	.	14380	14380	17	3	14	40
TP73	TP73	chrx	1	1	.	76889	76889	0	0	0	0
RP5-1092A11.5	RP5-1092A11.5	chrx	1	1	.	9077	9077	0	0	0	0
RP5-1092A11.2	RP5-1092A11.2	chrx	1	1	.	1746	1746	0	0	0	0
CCDC27	CCDC27	chrx	1	1	.	16908	16908	0	0	0	0
SMIM1	SMIM1	chrx	1	1	.	2238	2238	0	0	32	14
LRRC47	LRRC47	chrx	1	1	.	13417	13417	168	237	78	28
CEP104	CEP104	chrx	1	1	.	37213	37213	86	155	167	92
DFFB	DFFB	chrx	1	1	.	24275	24275	15	70	30	19
C1orf174	C1orf174	chrx	1	1	.	6775	6775	0	0	13	4
RP13-15E13.1	RP13-15E13.1	chrx	1	1	.	12782	12782	12	0	3	3
RP13-614K11.1	RP13-614K11.1	chrx	1	1	.	11073	11073	0	0	0	0
RP13-614K11.2	RP13-614K11.2	chrx	1	1	.	891	891	0	0	0	0
RP5-1166F10.1	RP5-1166F10.1	chrx	1	1	.	10550	10550	0	0	0	0
RP1-37J18.1	RP1-37J18.1	chrx	1	1	.	53	53	0	0	0	0
RP1-37J18.2	RP1-37J18.2	chrx	1	1	.	11184	11184	1	0	0	0
AJAP1	AJAP1	chrx	1	1	.	125384	125384	0	0	0	0
RP11-154H17.1	RP11-154H17.1	chrx	1	1	.	80563	80563	0	0	0	0
NPHP4	NPHP4	chrx	1	1	.	116348	116348	176	86	73	208
KCNAB2	KCNAB2	chrx	1	1	.	100422	100422	275	285	155	390
AL035406.1	AL035406.1	chrx	1	1	.	687	687	0	0	0	0
CHD5	CHD5	chrx	1	1	.	68355	68355	0	0	17	0
RPL22	RPL22	chrx	1	1	.	22832	22832	171	95	26	87
RP1-120G22.11	RP1-120G22.11	chrx	1	1	.	559	559	0	0	0	0
RNF207	RNF207	chrx	1	1	.	9212	9212	99	176	42	331
ICMT	ICMT	chrx	1	1	.	9860	9860	30	27	10	29
LINC00337	LINC00337	chrx	1	1	.	1512	1512	0	0	0	0
HES3	HES3	chrx	1	1	.	684	684	0	0	0	0
GPR153	GPR153	chrx	1	1	.	9538	9538	121	94	47	160
ACOT7	ACOT7	chrx	1	1	.	125205	125205	297	296	160	451
HES2	HES2	chrx	1	1	.	6838	6838	1	85	27	68
ESPN	ESPN	chrx	1	1	.	32446	32446	46	32	26	64
RP1-202O8.2	RP1-202O8.2	chrx	1	1	.	3618	3618	0	0	0	0
TNFRSF25	TNFRSF25	chrx	1	1	.	1115	1115	2	92	0	36
PLEKHG5	PLEKHG5	chrx	1	1	.	46966	46966	152	108	79	271
NOL9	NOL9	chrx	1	1	.	25874	25874	88	125	93	143
RP11-58A11.2	RP11-58A11.2	chrx	1	1	.	312	312	0	0	0	0
TAS1R1	TAS1R1	chrx	1	1	.	21675	21675	0	0	0	0
ZBTB48	ZBTB48	chrx	1	1	.	4767	4767	27	28	0	134
KLHL21	KLHL21	chrx	1	1	.	17210	17210	38	76	86	174
PHF13	PHF13	chrx	1	1	.	6662	6662	1	2	4	37
THAP3	THAP3	chrx	1	1	.	6637	6637	57	24	3	19
DNAJC11	DNAJC11	chrx	1	1	.	62572	62572	269	217	150	168
RP11-242F24.1	RP11-242F24.1	chrx	1	1	.	3305	3305	0	0	0	0
RP11-312B8.1	RP11-312B8.1	chrx	1	1	.	533	533	22	64	0	0
CAMTA1	CAMTA1	chrx	1	1	.	974128	974128	228	350	114	329
RP11-334N17.1	RP11-334N17.1	chrx	1	1	.	5553	5553	0	0	0	0
RP3-453P22.2	RP3-453P22.2	chrx	1	1	.	6518	6518	0	0	0	0
RP4-549F15.1	RP4-549F15.1	chrx	1	1	.	96	96	0	0	0	0
VAMP3	VAMP3	chrx	1	1	.	7001	7001	456	409	170	580
PER3	PER3	chrx	1	1	.	52757	52757	34	12	5	29
RP3-467L1.4	RP3-467L1.4	chrx	1	1	.	16267	16267	5	0	0	0
UTS2	UTS2	chrx	1	1	.	8639	8639	0	0	0	0
TNFRSF9	TNFRSF9	chrx	1	1	.	18720	18720	8	0	46	51
PARK7	PARK7	chrx	1	1	.	28798	28798	78	90	62	170
ERRFI1	ERRFI1	chrx	1	1	.	17714	17714	103	71	198	233
RP11-431K24.1	RP11-431K24.1	chrx	1	1	.	93917	93917	17	25	14	2
CTA-215D11.4	CTA-215D11.4	chrx	1	1	.	417	417	0	0	0	0
RP11-431K24.2	RP11-431K24.2	chrx	1	1	.	1866	1866	0	0	0	0
RP11-431K24.3	RP11-431K24.3	chrx	1	1	.	6036	6036	0	0	0	0
RP11-431K24.4	RP11-431K24.4	chrx	1	1	.	1861	1861	0	0	0	0
SLC45A1	SLC45A1	chrx	1	1	.	23321	23321	7	17	10	17
RERE	RERE	chrx	1	1	.	452392	452392	581	552	613	480
RP5-1115A15.1	RP5-1115A15.1	chrx	1	1	.	9484	9484	7	0	27	0
RP4-633I8.3	RP4-633I8.3	chrx	1	1	.	615	615	0	0	0	0
RP4-633I8.4	RP4-633I8.4	chrx	1	1	.	837	837	0	0	0	0
ENO1	ENO1	chrx	1	1	.	14264	14264	827	770	696	1090
CA6	CA6	chrx	1	1	.	26550	26550	0	0	1	0
SLC2A7	SLC2A7	chrx	1	1	.	21485	21485	0	0	0	0
SLC2A5	SLC2A5	chrx	1	1	.	46486	46486	0	0	0	12
GPR157	GPR157	chrx	1	1	.	23488	23488	6	0	31	12
RP3-510D11.1	RP3-510D11.1	chrx	1	1	.	20159	20159	17	0	0	0
RP3-510D11.2	RP3-510D11.2	chrx	1	1	.	8897	8897	66	118	78	172
H6PD	H6PD	chrx	1	1	.	27234	27234	113	119	145	128
SPSB1	SPSB1	chrx	1	1	.	73242	73242	225	141	201	375
RP13-392I16.1	RP13-392I16.1	chrx	1	1	.	1670	1670	0	0	0	0
SLC25A33	SLC25A33	chrx	1	1	.	41270	41270	133	66	100	212
TMEM201	TMEM201	chrx	1	1	.	18964	18964	0	79	20	36
PIK3CD	PIK3CD	chrx	1	1	.	70738	70738	23	69	0	26
C1orf200	C1orf200	chrx	1	1	.	152	152	0	0	0	0
RP11-558F24.2	RP11-558F24.2	chrx	1	1	.	1376	1376	0	0	0	0
RP11-558F24.4	RP11-558F24.4	chrx	1	1	.	14187	14187	15	0	0	0
CLSTN1	CLSTN1	chrx	1	1	.	89906	89906	82	211	160	177
RP11-558F24.6	RP11-558F24.6	chrx	1	1	.	171	171	0	0	0	0
CTNNBIP1	CTNNBIP1	chrx	1	1	.	58704	58704	179	211	100	140
RP11-84A14.5	RP11-84A14.5	chrx	1	1	.	1409	1409	0	0	0	0
LZIC	LZIC	chrx	1	1	.	18484	18484	94	171	142	70
RP11-84A14.4	RP11-84A14.4	chrx	1	1	.	6199	6199	0	0	0	0
NMNAT1	NMNAT1	chrx	1	1	.	36714	36714	2	4	5	29
RBP7	RBP7	chrx	1	1	.	17946	17946	0	0	0	0
AL590639.1	AL590639.1	chrx	1	1	.	265	265	0	0	0	0
UBE4B	UBE4B	chrx	1	1	.	138413	138413	287	320	369	377
PGAM1P11	PGAM1P11	chrx	1	1	.	296	296	0	0	0	0
KIF1B	KIF1B	chrx	1	1	.	152807	152807	186	359	317	415
PGD	PGD	chrx	1	1	.	18358	18358	28	56	124	127
APITD1	APITD1	chrx	1	1	.	18578	18578	22	36	47	60
CORT	CORT	chrx	1	1	.	1052	1052	0	0	0	0
DFFA	DFFA	chrx	1	1	.	9373	9373	48	15	32	88
RP5-1113E3.3	RP5-1113E3.3	chrx	1	1	.	315	315	0	0	0	0
PEX14	PEX14	chrx	1	1	.	155175	155175	118	321	257	410
CASZ1	CASZ1	chrx	1	1	.	148667	148667	43	41	84	143
RP4-734G22.3	RP4-734G22.3	chrx	1	1	.	7168	7168	0	0	0	0
C1orf127	C1orf127	chrx	1	1	.	31972	31972	25	0	0	0
CFL1P6	CFL1P6	chrx	1	1	.	324	324	0	0	0	0
TARDBP	TARDBP	chrx	1	1	.	8741	8741	83	94	83	154
MASP2	MASP2	chrx	1	1	.	16442	16442	0	0	0	0
SRM	SRM	chrx	1	1	.	3533	3533	75	31	18	57
EXOSC10	EXOSC10	chrx	1	1	.	27217	27217	408	408	190	387
RP4-635E18.7	RP4-635E18.7	chrx	1	1	.	1943	1943	0	0	0	0
RP4-635E18.6	RP4-635E18.6	chrx	1	1	.	1888	1888	4	0	0	32
MTOR	MTOR	chrx	1	1	.	143631	143631	521	314	448	556
ANGPTL7	ANGPTL7	chrx	1	1	.	4395	4395	0	0	0	0
UBIAD1	UBIAD1	chrx	1	1	.	17754	17754	78	61	39	102
UBE2V2P3	UBE2V2P3	chrx	1	1	.	297	297	0	0	0	0
PTCHD2	PTCHD2	chrx	1	1	.	52229	52229	0	3	0	1
RP1-69M21.2	RP1-69M21.2	chrx	1	1	.	2536	2536	0	0	0	0
FBXO2	FBXO2	chrx	1	1	.	5073	5073	0	20	0	13
FBXO44	FBXO44	chrx	1	1	.	5412	5412	31	1	1	18
FBXO6	FBXO6	chrx	1	1	.	8408	8408	0	0	13	29
MAD2L2	MAD2L2	chrx	1	1	.	13835	13835	19	25	9	4
DRAXIN	DRAXIN	chrx	1	1	.	26771	26771	0	1	0	0
AGTRAP	AGTRAP	chrx	1	1	.	16274	16274	215	202	211	237
C1orf167	C1orf167	chrx	1	1	.	21252	21252	0	0	0	0
RP11-56N19.5	RP11-56N19.5	chrx	1	1	.	671	671	0	0	0	0
MTHFR	MTHFR	chrx	1	1	.	10960	10960	59	71	106	40
CLCN6	CLCN6	chrx	1	1	.	30063	30063	297	218	287	262
NPPA	NPPA	chrx	1	1	.	1511	1511	0	0	0	0
NPPB	NPPB	chrx	1	1	.	770	770	0	0	0	0
KIAA2013	KIAA2013	chrx	1	1	.	3553	3553	139	349	154	230
PLOD1	PLOD1	chrx	1	1	.	35972	35972	285	215	175	236
MFN2	MFN2	chrx	1	1	.	28319	28319	121	129	66	165
MIIP	MIIP	chrx	1	1	.	9745	9745	57	129	10	10
TNFRSF8	TNFRSF8	chrx	1	1	.	77065	77065	32	8	0	0
TNFRSF1B	TNFRSF1B	chrx	1	1	.	38381	38381	705	251	162	245
VPS13D	VPS13D	chrx	1	1	.	261328	261328	403	529	368	495
RP5-888M10.2	RP5-888M10.2	chrx	1	1	.	257	257	0	0	0	0
DHRS3	DHRS3	chrx	1	1	.	46645	46645	354	253	361	374
AADACL4	AADACL4	chrx	1	1	.	20951	20951	0	0	0	0
AADACL3	AADACL3	chrx	1	1	.	8554	8554	0	0	0	0
C1orf158	C1orf158	chrx	1	1	.	13344	13344	0	0	0	0
PRAMEF12	PRAMEF12	chrx	1	1	.	1276	1276	0	0	0	0
PRAMEF1	PRAMEF1	chrx	1	1	.	2785	2785	0	0	0	0
RP5-845O24.8	RP5-845O24.8	chrx	1	1	.	94	94	0	0	0	0
PRAMEF11	PRAMEF11	chrx	1	1	.	4952	4952	0	0	0	0
RP5-845O24.3	RP5-845O24.3	chrx	1	1	.	1810	1810	0	0	0	0
HNRNPCL1	HNRNPCL1	chrx	1	1	.	208	208	0	0	0	0
PRAMEF2	PRAMEF2	chrx	1	1	.	3176	3176	0	0	0	0
PRAMEF4	PRAMEF4	chrx	1	1	.	5147	5147	0	0	0	0
PRAMEF10	PRAMEF10	chrx	1	1	.	3844	3844	0	0	0	0
PRAMEF7	PRAMEF7	chrx	1	1	.	2270	2270	0	0	0	0
RP11-450I1.2	RP11-450I1.2	chrx	1	1	.	951	951	0	0	0	0
PRAMEF6	PRAMEF6	chrx	1	1	.	113733	113733	0	0	0	0
RP11-450I1.4	RP11-450I1.4	chrx	1	1	.	1415	1415	0	0	0	0
PRAMEF22	PRAMEF22	chrx	1	1	.	1389	1389	0	0	0	0
PRAMEF23	PRAMEF23	chrx	1	1	.	2408	2408	0	0	0	0
RP13-221M14.6	RP13-221M14.6	chrx	1	1	.	1415	1415	0	0	0	0
PRAMEF25	PRAMEF25	chrx	1	1	.	3113	3113	0	0	0	0
RP13-221M14.2	RP13-221M14.2	chrx	1	1	.	94	94	0	0	0	0
RP13-221M14.3	RP13-221M14.3	chrx	1	1	.	1343	1343	0	0	0	0
RP13-221M14.4	RP13-221M14.4	chrx	1	1	.	394	394	0	0	0	0
HNRNPCP5	HNRNPCP5	chrx	1	1	.	209	209	0	0	0	0
WI2-2994D6.1	WI2-2994D6.1	chrx	1	1	.	1342	1342	0	0	0	0
PRAMEF3	PRAMEF3	chrx	1	1	.	1389	1389	0	0	0	0
RP11-248D7.2	RP11-248D7.2	chrx	1	1	.	1416	1416	0	0	0	0
PRAMEF5	PRAMEF5	chrx	1	1	.	7378	7378	0	0	0	0
RP11-219C24.8	RP11-219C24.8	chrx	1	1	.	1019	1019	0	0	0	0
PRAMEF8	PRAMEF8	chrx	1	1	.	2270	2270	0	0	0	0
RP11-219C24.6	RP11-219C24.6	chrx	1	1	.	1503	1503	0	0	0	0
PRAMEF9	PRAMEF9	chrx	1	1	.	5147	5147	0	0	0	0
RP11-219C24.10	RP11-219C24.10	chrx	1	1	.	94	94	0	0	0	0
PRAMEF13	PRAMEF13	chrx	1	1	.	3073	3073	0	0	0	0
PRAMEF18	PRAMEF18	chrx	1	1	.	1394	1394	0	0	0	0
PRAMEF16	PRAMEF16	chrx	1	1	.	1416	1416	0	0	0	0
PRAMEF21	PRAMEF21	chrx	1	1	.	9275	9275	0	0	0	0
PRAMEF15	PRAMEF15	chrx	1	1	.	5147	5147	0	0	0	0
PRAMEF14	PRAMEF14	chrx	1	1	.	2713	2713	0	0	0	0
PRAMEF19	PRAMEF19	chrx	1	1	.	1390	1390	0	0	0	0
PRAMEF17	PRAMEF17	chrx	1	1	.	1416	1416	0	0	0	0
PRAMEF20	PRAMEF20	chrx	1	1	.	9294	9294	0	0	0	0
LRRC38	LRRC38	chrx	1	1	.	36888	36888	0	0	0	0
RP4-597A16.2	RP4-597A16.2	chrx	1	1	.	2570	2570	0	0	0	0
RP4-597A16.3	RP4-597A16.3	chrx	1	1	.	321	321	0	0	0	0
PDPN	PDPN	chrx	1	1	.	30772	30772	0	0	0	0
CTA-520D8.2	CTA-520D8.2	chrx	1	1	.	2219	2219	0	0	0	0
PRDM2	PRDM2	chrx	1	1	.	113931	113931	398	246	227	397
RP11-344F13.1	RP11-344F13.1	chrx	1	1	.	944	944	0	0	0	0
RP4-704D23.1	RP4-704D23.1	chrx	1	1	.	1488	1488	0	0	0	0
KAZN	KAZN	chrx	1	1	.	506664	506664	50	11	31	80
TBCAP2	TBCAP2	chrx	1	1	.	157	157	0	0	0	0
TMEM51	TMEM51	chrx	1	1	.	65701	65701	113	80	33	64
C1orf195	C1orf195	chrx	1	1	.	6411	6411	0	0	0	0
RP1-21O18.3	RP1-21O18.3	chrx	1	1	.	306	306	0	0	0	0
FHAD1	FHAD1	chrx	1	1	.	140128	140128	1	0	1	0
RP3-467K16.2	RP3-467K16.2	chrx	1	1	.	13359	13359	0	0	0	0
RP3-467K16.7	RP3-467K16.7	chrx	1	1	.	570	570	0	0	0	0
RP3-467K16.4	RP3-467K16.4	chrx	1	1	.	1273	1273	0	0	0	0
EFHD2	EFHD2	chrx	1	1	.	17910	17910	195	157	288	403
CTRC	CTRC	chrx	1	1	.	7303	7303	0	0	9	0
CELA2A	CELA2A	chrx	1	1	.	13741	13741	0	0	0	0
CELA2B	CELA2B	chrx	1	1	.	23911	23911	0	0	2	0
CASP9	CASP9	chrx	1	1	.	30413	30413	11	35	0	45
DNAJC16	DNAJC16	chrx	1	1	.	56826	56826	140	53	32	238
AGMAT	AGMAT	chrx	1	1	.	10246	10246	0	0	0	0
RP4-680D5.2	RP4-680D5.2	chrx	1	1	.	14644	14644	0	0	0	0
DDI2	DDI2	chrx	1	1	.	39391	39391	93	95	71	104
PLEKHM2	PLEKHM2	chrx	1	1	.	46278	46278	566	413	454	597
RP11-288I21.1	RP11-288I21.1	chrx	1	1	.	13527	13527	0	0	0	0
SLC25A34	SLC25A34	chrx	1	1	.	1787	1787	13	0	1	0
RP11-169K16.4	RP11-169K16.4	chrx	1	1	.	9205	9205	194	275	51	207
TMEM82	TMEM82	chrx	1	1	.	4031	4031	0	0	0	0
FBLIM1	FBLIM1	chrx	1	1	.	25250	25250	1622	1311	1142	1242
RP11-169K16.9	RP11-169K16.9	chrx	1	1	.	11199	11199	8	1	0	2
SPEN	SPEN	chrx	1	1	.	79170	79170	77	177	179	279
ZBTB17	ZBTB17	chrx	1	1	.	29998	29998	90	170	132	286
TBC1D3P6	TBC1D3P6	chrx	1	1	.	3905	3905	0	0	0	0
C1orf64	C1orf64	chrx	1	1	.	1531	1531	0	0	0	0
RP11-5P18.5	RP11-5P18.5	chrx	1	1	.	44	44	0	0	0	0
HSPB7	HSPB7	chrx	1	1	.	1653	1653	0	0	0	0
CLCNKA	CLCNKA	chrx	1	1	.	11650	11650	0	0	0	0
RP11-5P18.10	RP11-5P18.10	chrx	1	1	.	4140	4140	0	0	0	0
CLCNKB	CLCNKB	chrx	1	1	.	10596	10596	0	0	0	2
FAM131C	FAM131C	chrx	1	1	.	14151	14151	0	12	0	3
EPHA2	EPHA2	chrx	1	1	.	27558	27558	948	1216	1790	3227
RP11-276H7.2	RP11-276H7.2	chrx	1	1	.	1213	1213	0	0	0	0
RP11-276H7.3	RP11-276H7.3	chrx	1	1	.	2072	2072	2	0	0	18
ARHGEF19	ARHGEF19	chrx	1	1	.	10983	10983	26	23	0	0
ANO7P1	ANO7P1	chrx	1	1	.	10095	10095	24	104	18	86
C1orf134	C1orf134	chrx	1	1	.	417	417	0	16	0	1
RSG1	RSG1	chrx	1	1	.	3910	3910	18	21	0	0
FBXO42	FBXO42	chrx	1	1	.	96612	96612	110	225	115	178
